omega,F
13.8,0.629
13.82,0.628
14.26,0.644
15.17,0.736
15.99,0.864
16.49,0.881
16.75,0.934
17.18,0.987
17.58,1.028
17.89,1.029
18.42,1.09
18.82,1.138
19.05,1.148
19.38,1.204
19.66,1.204
19.95,1.265
20.39,1.335
20.92,1.405
21.58,1.495
22.26,1.563
22.69,1.616
23.02,1.654
23.42,1.706
23.81,1.788
24.2,1.809
24.54,1.862
24.82,1.871
25.08,1.919
25.49,1.97
25.95,2.083
26.38,2.144
26.89,2.187
27.39,2.265
27.7,2.299
27.95,2.279
28.3,2.411
28.71,2.483
28.99,2.442
29.39,2.552
29.88,2.576
30.36,2.548
30.82,2.555
31.12,2.577
31.45,2.608
31.96,2.677
32.35,2.77
32.65,2.862
32.93,2.888
33.16,2.932
33.46,2.965
33.73,3.017
34.09,3.116
34.42,3.166
34.7,3.213
34.98,3.263
35.24,3.308
35.45,3.35
35.74,3.425
35.97,3.469
36.24,3.522
36.58,3.639
36.91,3.768
37.11,3.922
37.38,3.983
37.71,4.011
38,4.166
38.22,4.139
38.37,4.125
38.52,4.166
38.72,4.107
38.86,4.199
38.97,4.24
39.1,4.333
39.24,4.435
39.45,4.421
39.62,4.381
39.81,4.428
40.01,4.51
40.21,4.605
40.56,4.723
41,4.773
41.33,4.768
41.69,4.886
42.15,4.984
42.52,5.046
42.75,5.133
42.94,5.166
43.16,5.249
43.35,5.267
43.56,5.234
43.77,5.254
43.93,5.274
44.07,5.304
44.31,5.411
44.58,5.559
44.85,5.504
45.13,5.562
45.39,5.642
45.62,5.666
45.79,5.759
45.97,5.776
46.18,5.798
46.44,5.881
46.69,5.936
46.89,5.825
47.13,5.946
47.43,6.08
47.67,6.129
47.95,6.224
48.3,6.258
48.56,6.212
48.75,6.449
48.95,6.306
49.14,6.539
49.27,6.461
49.35,6.552
49.43,6.672
49.49,6.61
49.54,6.688
49.59,6.616
49.64,6.809
49.7,6.595
49.75,6.728
49.81,6.59
49.84,6.763
49.89,
